# Every genome screened, one row per genome. 20,434 prokaryote genomes (one per named species)
# plus the 88 eukaryote genomes. ftp_path is the NCBI directory the protein file was taken from:
# <ftp_path>/<basename>_protein.faa.gz. The genome page is https://www.ncbi.nlm.nih.gov/datasets/genome/<accession>/
screen	genus	species	accession	organism_name	refseq_category	assembly_level	protein_coding_genes	ftp_path
survey (4+ species)	Acetobacter	Acetobacter fabarum	GCF_022483405.1	Acetobacter fabarum	reference genome	Contig	2584	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/483/405/GCF_022483405.1_ASM2248340v1
survey (4+ species)	Acetobacter	Acetobacter fallax	GCF_011516735.1	Acetobacter fallax	reference genome	Contig	3614	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/516/735/GCF_011516735.1_ASM1151673v1
survey (4+ species)	Acetobacter	Acetobacter farinalis	GCF_026240015.1	Acetobacter farinalis	reference genome	Contig	2556	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/240/015/GCF_026240015.1_ASM2624001v1
survey (4+ species)	Acetobacter	Acetobacter garciniae	GCF_017377735.1	Acetobacter garciniae	reference genome	Contig	3338	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/377/735/GCF_017377735.1_ASM1737773v1
survey (4+ species)	Acetobacter	Acetobacter ghanensis	GCF_011516865.1	Acetobacter ghanensis	reference genome	Contig	2561	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/516/865/GCF_011516865.1_ASM1151686v1
survey (4+ species)	Acetobacter	Acetobacter indonesiensis	GCF_007991075.1	Acetobacter indonesiensis	reference genome	Contig	2988	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/991/075/GCF_007991075.1_ASM799107v1
survey (4+ species)	Acetobacter	Acetobacter lambici	GCF_011516885.1	Acetobacter lambici	reference genome	Contig	3017	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/516/885/GCF_011516885.1_ASM1151688v1
survey (4+ species)	Acetobacter	Acetobacter lovaniensis	GCF_011516875.1	Acetobacter lovaniensis	reference genome	Contig	3255	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/516/875/GCF_011516875.1_ASM1151687v1
survey (4+ species)	Acetobacter	Acetobacter malorum	GCF_001580615.1	Acetobacter malorum	reference genome	Contig	3365	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/580/615/GCF_001580615.1_ASM158061v1
survey (4+ species)	Acetobacter	Acetobacter musti	GCF_011516835.1	Acetobacter musti	reference genome	Contig	4058	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/516/835/GCF_011516835.1_ASM1151683v1
survey (4+ species)	Acetobacter	Acetobacter nitrogenifigens	GCF_007991375.1	Acetobacter nitrogenifigens DSM 23921 = NBRC 105050	reference genome	Contig	3675	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/991/375/GCF_007991375.1_ASM799137v1
survey (4+ species)	Acetobacter	Acetobacter oeni	GCF_011516825.1	Acetobacter oeni	reference genome	Contig	3606	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/516/825/GCF_011516825.1_ASM1151682v1
survey (4+ species)	Acetobacter	Acetobacter okinawensis	GCF_055384605.1	Acetobacter okinawensis JCM 25146	reference genome	Complete Genome	2882	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/384/605/GCF_055384605.1_ASM5538460v1
survey (4+ species)	Acetobacter	Acetobacter orientalis	GCF_965286225.1	Acetobacter orientalis	reference genome	Complete Genome	2650	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/965/286/225/GCF_965286225.1_AOVUBH056E3_assembly
survey (4+ species)	Acetobacter	Acetobacter orleanensis	GCF_006539325.1	Acetobacter orleanensis	reference genome	Contig	2626	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/539/325/GCF_006539325.1_ASM653932v1
survey (4+ species)	Acetobacter	Acetobacter oryzifermentans	GCF_002220195.1	Acetobacter oryzifermentans	reference genome	Complete Genome	2860	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/195/GCF_002220195.1_ASM222019v1
survey (4+ species)	Acetobacter	Acetobacter oryzoeni	GCF_004014775.2	Acetobacter oryzoeni	reference genome	Complete Genome	2818	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/014/775/GCF_004014775.2_ASM401477v2
survey (4+ species)	Acetobacter	Acetobacter papayae	GCF_047721125.1	Acetobacter papayae	reference genome	Scaffold	2357	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/047/721/125/GCF_047721125.1_ASM4772112v1
survey (4+ species)	Acetobacter	Acetobacter pasteurianus	GCF_009914215.2	Acetobacter pasteurianus	reference genome	Complete Genome	3038	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/914/215/GCF_009914215.2_ASM991421v2
survey (4+ species)	Acetobacter	Acetobacter peroxydans	GCF_006539345.1	Acetobacter peroxydans	reference genome	Contig	2423	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/539/345/GCF_006539345.1_ASM653934v1
survey (4+ species)	Acetobacter	Acetobacter persici	GCF_018256955.1	Acetobacter persici	reference genome	Contig	3056	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/256/955/GCF_018256955.1_ASM1825695v1
survey (4+ species)	Acetobacter	Acetobacter pomorum	GCF_002738225.1	Acetobacter pomorum	reference genome	Contig	3063	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/738/225/GCF_002738225.1_ASM273822v1
survey (4+ species)	Acetobacter	Acetobacter sacchari	GCF_017377715.1	Acetobacter sacchari	reference genome	Contig	4020	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/377/715/GCF_017377715.1_ASM1737771v1
survey (4+ species)	Acetobacter	Acetobacter senegalensis	GCF_001499615.1	Acetobacter senegalensis	reference genome	Complete Genome	3468	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/499/615/GCF_001499615.1_Acetobacter_senegalensis_108B
survey (4+ species)	Acetobacter	Acetobacter sicerae	GCF_011516765.1	Acetobacter sicerae	reference genome	Contig	3635	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/516/765/GCF_011516765.1_ASM1151676v1
survey (4+ species)	Acetobacter	Acetobacter suratthaniensis	GCF_026239995.1	Acetobacter suratthaniensis	reference genome	Contig	2788	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/239/995/GCF_026239995.1_ASM2623999v1
survey (4+ species)	Acetobacter	Acetobacter syzygii	GCF_000964225.1	Acetobacter syzygii	reference genome	Scaffold	2446	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/964/225/GCF_000964225.1_ASM96422v1
survey (4+ species)	Acetobacter	Acetobacter thailandicus	GCF_026240055.1	Acetobacter thailandicus	reference genome	Contig	2475	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/240/055/GCF_026240055.1_ASM2624005v1
survey (4+ species)	Acetobacter	Acetobacter tropicalis	GCF_030644465.1	Acetobacter tropicalis	reference genome	Contig	3233	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/644/465/GCF_030644465.1_ASM3064446v1
survey (4+ species)	Acetobacter	Acetobacter vaccinii	GCF_008365315.1	Acetobacter vaccinii	reference genome	Complete Genome	2702	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/365/315/GCF_008365315.1_ASM836531v1
survey (4+ species)	Acetobacter	Acetobacter zythi	GCF_963921165.1	Acetobacter zythi	reference genome	Contig	2767	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/921/165/GCF_963921165.1_Acetobacter_zythi_LMG32666_type_strain_assembly
survey (4+ species)	Acetobacterium	Acetobacterium bakii	GCF_900235925.1	Acetobacterium bakii	reference genome	Scaffold	3956	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/235/925/GCF_900235925.1_ABAKI
survey (4+ species)	Acetobacterium	Acetobacterium carbinolicum	GCF_047456275.1	Acetobacterium carbinolicum	reference genome	Complete Genome	3706	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/047/456/275/GCF_047456275.1_118465
survey (4+ species)	Acetobacterium	Acetobacterium fimetarium	GCF_014284475.1	Acetobacterium fimetarium	reference genome	Contig	2937	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/284/475/GCF_014284475.1_ASM1428447v1
survey (4+ species)	Acetobacterium	Acetobacterium malicum	GCF_047456285.1	Acetobacterium malicum subsp. dehalogenans DSM 11527	reference genome	Complete Genome	3715	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/047/456/285/GCF_047456285.1_57435
survey (4+ species)	Acetobacterium	Acetobacterium paludosum	GCF_008086595.1	Acetobacterium paludosum	reference genome	Contig	3379	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/086/595/GCF_008086595.1_ASM808659v1
survey (4+ species)	Acetobacterium	Acetobacterium tundrae	GCF_008086615.1	Acetobacterium tundrae	reference genome	Contig	3299	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/086/615/GCF_008086615.1_ASM808661v1
survey (4+ species)	Acetobacterium	Acetobacterium wieringae	GCF_023700225.1	Acetobacterium wieringae	reference genome	Complete Genome	3544	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/700/225/GCF_023700225.1_ASM2370022v1
survey (4+ species)	Acetobacterium	Acetobacterium woodii	GCF_000247605.1	Acetobacterium woodii DSM 1030	reference genome	Complete Genome	3609	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/605/GCF_000247605.1_ASM24760v1
survey (4+ species)	Acholeplasma	Acholeplasma brassicae	GCF_000967915.1	Acholeplasma brassicae	reference genome	Complete Genome	1701	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/967/915/GCF_000967915.1_ASM96791v1
survey (4+ species)	Acholeplasma	Acholeplasma equifetale	GCF_000687735.1	Acholeplasma equifetale ATCC 29724	reference genome	Contig	1191	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/687/735/GCF_000687735.1_ASM68773v1
survey (4+ species)	Acholeplasma	Acholeplasma equirhinis	GCF_017052655.1	Acholeplasma equirhinis	reference genome	Contig	1346	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/052/655/GCF_017052655.1_ASM1705265v1
survey (4+ species)	Acholeplasma	Acholeplasma granularum	GCF_000526235.1	Acholeplasma granularum ATCC 19168	reference genome	Contig	1333	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/235/GCF_000526235.1_ASM52623v1
survey (4+ species)	Acholeplasma	Acholeplasma hippikon	GCF_900660755.1	Acholeplasma hippikon	reference genome	Complete Genome	1369	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/660/755/GCF_900660755.1_57792_F01-3
survey (4+ species)	Acholeplasma	Acholeplasma laidlawii	GCF_000018785.1	Acholeplasma laidlawii PG-8A	reference genome	Complete Genome	1385	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/785/GCF_000018785.1_ASM1878v1
survey (4+ species)	Acholeplasma	Acholeplasma oculi	GCF_900444665.1	Acholeplasma oculi	reference genome	Contig	1467	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/444/665/GCF_900444665.1_57752_G01
survey (4+ species)	Achromobacter	Achromobacter aegrifaciens	GCF_902859965.1	Achromobacter aegrifaciens	reference genome	Contig	6118	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/859/965/GCF_902859965.1_LMG_26854
survey (4+ species)	Achromobacter	Achromobacter agilis	GCF_900496965.1	Achromobacter agilis	reference genome	Contig	5889	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/496/965/GCF_900496965.1_LMG_3411T
survey (4+ species)	Achromobacter	Achromobacter aloeverae	GCF_004121055.1	Achromobacter aloeverae	reference genome	Contig	5637	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/121/055/GCF_004121055.1_ASM412105v1
survey (4+ species)	Achromobacter	Achromobacter animicus	GCF_040775605.1	Achromobacter animicus	reference genome	Contig	5548	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/775/605/GCF_040775605.1_ASM4077560v1
survey (4+ species)	Achromobacter	Achromobacter anxifer	GCF_903652925.1	Achromobacter anxifer	reference genome	Contig	6767	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/903/652/925/GCF_903652925.1_LMG_26857
survey (4+ species)	Achromobacter	Achromobacter arsenitoxydans	GCF_000236785.1	Achromobacter arsenitoxydans SY8	reference genome	Contig	5652	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/236/785/GCF_000236785.1_ASM23678v2
survey (4+ species)	Achromobacter	Achromobacter colocynthi	GCF_057334535.1	Achromobacter colocynthi	reference genome	Scaffold	5880	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/057/334/535/GCF_057334535.1_ASM5733453v1
survey (4+ species)	Achromobacter	Achromobacter deleyi	GCF_902859705.1	Achromobacter deleyi	reference genome	Contig	6228	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/859/705/GCF_902859705.1_LMG_3458
survey (4+ species)	Achromobacter	Achromobacter denitrificans	GCF_013267395.1	Achromobacter denitrificans	reference genome	Complete Genome	6182	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/267/395/GCF_013267395.1_ASM1326739v1
survey (4+ species)	Achromobacter	Achromobacter dolens	GCF_902859745.1	Achromobacter dolens	reference genome	Contig	5747	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/859/745/GCF_902859745.1_LMG_26840
survey (4+ species)	Achromobacter	Achromobacter insolitus	GCF_900637265.1	Achromobacter insolitus	reference genome	Complete Genome	5863	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/265/GCF_900637265.1_50432_C01
survey (4+ species)	Achromobacter	Achromobacter insuavis	GCF_902859645.1	Achromobacter insuavis	reference genome	Contig	6276	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/859/645/GCF_902859645.1_LMG_26845
survey (4+ species)	Achromobacter	Achromobacter kerstersii	GCF_977007375.1	Achromobacter kerstersii	reference genome	Contig	5894	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/977/007/375/GCF_977007375.1_ASM97700737v1
survey (4+ species)	Achromobacter	Achromobacter maghribensis	GCF_057334215.1	Achromobacter maghribensis	reference genome	Scaffold	6023	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/057/334/215/GCF_057334215.1_ASM5733421v1
survey (4+ species)	Achromobacter	Achromobacter marplatensis	GCF_977008235.1	Achromobacter marplatensis	reference genome	Contig	6249	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/977/008/235/GCF_977008235.1_ASM97700823v1
survey (4+ species)	Achromobacter	Achromobacter mucicolens	GCF_029866465.1	Achromobacter mucicolens	reference genome	Complete Genome	5097	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/866/465/GCF_029866465.1_ASM2986646v1
survey (4+ species)	Achromobacter	Achromobacter pestifer	GCF_902859625.1	Achromobacter pestifer	reference genome	Contig	6147	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/859/625/GCF_902859625.1_LMG_3431
survey (4+ species)	Achromobacter	Achromobacter piechaudii	GCF_902859685.1	Achromobacter piechaudii	reference genome	Contig	5679	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/859/685/GCF_902859685.1_LMG_1873
survey (4+ species)	Achromobacter	Achromobacter pulmonis	GCF_021733725.1	Achromobacter pulmonis	reference genome	Contig	5436	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/733/725/GCF_021733725.1_ASM2173372v1
survey (4+ species)	Achromobacter	Achromobacter ruhlandii	GCF_002082135.1	Achromobacter ruhlandii	reference genome	Chromosome	5718	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/135/GCF_002082135.1_ASM208213v1
survey (4+ species)	Achromobacter	Achromobacter seleniivolatilans	GCF_030864005.1	Achromobacter seleniivolatilans	reference genome	Complete Genome	6114	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/864/005/GCF_030864005.1_ASM3086400v1
survey (4+ species)	Achromobacter	Achromobacter semiaridum	GCF_053543755.1	Achromobacter semiaridum	reference genome	Scaffold	5753	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/543/755/GCF_053543755.1_ASM5354375v1
survey (4+ species)	Achromobacter	Achromobacter spanius	GCF_002812705.1	Achromobacter spanius	reference genome	Complete Genome	5723	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/812/705/GCF_002812705.1_ASM281270v1
survey (4+ species)	Achromobacter	Achromobacter veterisilvae	GCF_037619525.1	Achromobacter veterisilvae	reference genome	Complete Genome	5995	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/619/525/GCF_037619525.1_ASM3761952v1
survey (4+ species)	Achromobacter	Achromobacter xylosoxidans	GCF_016728825.1	Achromobacter xylosoxidans	reference genome	Complete Genome	6333	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/728/825/GCF_016728825.1_ASM1672882v1
survey (4+ species)	Acidaminococcus	Acidaminococcus fermentans	GCF_000025305.1	Acidaminococcus fermentans DSM 20731	reference genome	Complete Genome	2086	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/305/GCF_000025305.1_ASM2530v1
survey (4+ species)	Acidaminococcus	Acidaminococcus hominis	GCF_022484025.1	Acidaminococcus hominis	reference genome	Contig	2524	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/484/025/GCF_022484025.1_ASM2248402v1
survey (4+ species)	Acidaminococcus	Acidaminococcus intestini	GCF_025144545.1	Acidaminococcus intestini	reference genome	Complete Genome	2082	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/144/545/GCF_025144545.1_ASM2514454v1
survey (4+ species)	Acidaminococcus	Acidaminococcus massiliensis	GCF_900095825.1	Acidaminococcus massiliensis	reference genome	Scaffold	2422	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/095/825/GCF_900095825.1_PRJEB15304
survey (4+ species)	Acidaminococcus	Acidaminococcus nyctereutis	GCF_052216985.1	Acidaminococcus nyctereutis	reference genome	Scaffold	2464	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/052/216/985/GCF_052216985.1_ASM5221698v1
survey (4+ species)	Acidaminococcus	Acidaminococcus timonensis	GCF_900106585.1	Acidaminococcus timonensis	reference genome	Contig	2106	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/106/585/GCF_900106585.1_PRJEB16534
survey (4+ species)	Acidicapsa	Acidicapsa acidisoli	GCF_025685625.1	Acidicapsa acidisoli	reference genome	Contig	5679	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/685/625/GCF_025685625.1_ASM2568562v1
survey (4+ species)	Acidicapsa	Acidicapsa borealis	GCF_059115245.1	Acidicapsa borealis	reference genome	Contig	4891	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/115/245/GCF_059115245.1_ASM5911524v1
survey (4+ species)	Acidicapsa	Acidicapsa dinghuensis	GCF_025685685.1	Acidicapsa dinghuensis	reference genome	Contig	4951	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/685/685/GCF_025685685.1_ASM2568568v1
survey (4+ species)	Acidicapsa	Acidicapsa ligni	GCF_025685655.1	Acidicapsa ligni	reference genome	Contig	4559	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/685/655/GCF_025685655.1_ASM2568565v1
survey (4+ species)	Acidihalobacter	Acidihalobacter aeolianus	GCF_001753165.1	Acidihalobacter aeolianus	reference genome	Chromosome	3315	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/753/165/GCF_001753165.1_ASM175316v1
survey (4+ species)	Acidihalobacter	Acidihalobacter ferrooxydans	GCF_001975725.1	Acidihalobacter ferrooxydans	reference genome	Chromosome	3142	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/975/725/GCF_001975725.1_ASM197572v1
survey (4+ species)	Acidihalobacter	Acidihalobacter prosperus	GCF_000754095.2	Acidihalobacter prosperus	reference genome	Contig	3227	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/754/095/GCF_000754095.2_ASM75409v2
survey (4+ species)	Acidihalobacter	Acidihalobacter yilgarnensis	GCF_001753245.1	Acidihalobacter yilgarnensis	reference genome	Complete Genome	3325	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/753/245/GCF_001753245.1_ASM175324v1
survey (4+ species)	Acidiphilium	Acidiphilium acidophilum	GCF_033842475.1	Acidiphilium acidophilum	reference genome	Contig	3907	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/842/475/GCF_033842475.1_ASM3384247v1
survey (4+ species)	Acidiphilium	Acidiphilium angustum	GCF_000701585.1	Acidiphilium angustum ATCC 35903	reference genome	Scaffold	3928	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/701/585/GCF_000701585.1_ASM70158v1
survey (4+ species)	Acidiphilium	Acidiphilium iwatense	GCF_021556475.1	Acidiphilium iwatense	reference genome	Contig	3964	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/556/475/GCF_021556475.1_ASM2155647v1
survey (4+ species)	Acidiphilium	Acidiphilium multivorum	GCF_000202835.1	Acidiphilium multivorum AIU301	reference genome	Complete Genome	3853	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/202/835/GCF_000202835.1_ASM20283v1
survey (4+ species)	Acidiphilium	Acidiphilium rubrum	GCF_900156265.1	Acidiphilium rubrum	reference genome	Scaffold	3711	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/156/265/GCF_900156265.1_IMG-taxon_2681812815_annotated_assembly
survey (4+ species)	Acidipropionibacterium	Acidipropionibacterium acidipropionici	GCF_001441165.1	Acidipropionibacterium acidipropionici	reference genome	Complete Genome	3252	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/441/165/GCF_001441165.1_ASM144116v1
survey (4+ species)	Acidipropionibacterium	Acidipropionibacterium jensenii	GCF_005890135.1	Acidipropionibacterium jensenii	reference genome	Complete Genome	2569	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/890/135/GCF_005890135.1_ASM589013v1
survey (4+ species)	Acidipropionibacterium	Acidipropionibacterium thoenii	GCF_000423445.1	Acidipropionibacterium thoenii DSM 20276	reference genome	Scaffold	2560	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/423/445/GCF_000423445.1_ASM42344v1
survey (4+ species)	Acidipropionibacterium	Acidipropionibacterium timonense	GCF_900605005.1	Acidipropionibacterium timonense	reference genome	Scaffold	2526	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/605/005/GCF_900605005.1_PRJEB25873
survey (4+ species)	Acidipropionibacterium	Acidipropionibacterium virtanenii	GCF_003325455.1	Acidipropionibacterium virtanenii	reference genome	Complete Genome	3076	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/325/455/GCF_003325455.1_ASM332545v1
survey (4+ species)	Acidisoma	Acidisoma cellulosilyticum	GCF_020621385.1	Acidisoma cellulosilyticum	reference genome	Contig	5552	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/621/385/GCF_020621385.1_ASM2062138v1
survey (4+ species)	Acidisoma	Acidisoma cladoniae	GCF_030252425.1	Acidisoma cladoniae	reference genome	Complete Genome	4639	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/252/425/GCF_030252425.1_ASM3025242v1
survey (4+ species)	Acidisoma	Acidisoma sibiricum	GCF_057837225.1	Acidisoma sibiricum	reference genome	Complete Genome	4129	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/057/837/225/GCF_057837225.1_ASM5783722v1
survey (4+ species)	Acidisoma	Acidisoma silvae	GCF_020618775.1	Acidisoma silvae	reference genome	Contig	5054	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/618/775/GCF_020618775.1_ASM2061877v1
